"TOA5","CR1000","CR1000","30150","CR1000.Std.21","CPU:tarea1cr1000.CR1","54653","cinco_min"
"TIMESTAMP","RECORD","AmbC_Avg","AmbC_Max","AmbC_TMx","AmbC_Min","AmbC_TMn","bandera","BattV_Min","BattV_TMn","Tpanel","Tabs"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","","Volts","Volts","Deg C",""
"","","Avg","Max","TMx","Min","TMn","Smp","Min","TMn","Smp","Smp"
"2011-11-14 12:55:00",0,24.38,24.56,"2011-11-14 12:55:00",24.32,"2011-11-14 12:53:00",-1,12.28,"2011-11-14 12:52:40",24.42,0.134
"2011-11-14 13:00:00",1,29.75,31.52,"2011-11-14 12:57:00",25.06,"2011-11-14 12:55:05",1,12.28,"2011-11-14 12:59:45",24.51,4.252
"2011-11-14 13:05:00",2,27.58,28.76,"2011-11-14 13:00:05",26.74,"2011-11-14 13:04:50",0,12.28,"2011-11-14 13:00:45",24.54,2.204
"2011-11-14 13:10:00",3,26.18,26.74,"2011-11-14 13:05:05",25.76,"2011-11-14 13:09:55",0,12.28,"2011-11-14 13:06:40",24.57,1.229
"2011-11-14 13:15:00",4,25.46,25.73,"2011-11-14 13:10:05",25.23,"2011-11-14 13:14:50",0,12.28,"2011-11-14 13:12:00",24.63,0.634
"2011-11-14 13:20:00",5,25.12,25.26,"2011-11-14 13:15:05",24.99,"2011-11-14 13:20:00",-1,12.28,"2011-11-14 13:20:00",24.66,0.333
"2011-11-14 13:25:00",6,24.96,25.06,"2011-11-14 13:20:05",24.86,"2011-11-14 13:24:25",-1,12.28,"2011-11-14 13:20:05",24.69,0.236
"2011-11-14 13:30:00",7,24.93,24.99,"2011-11-14 13:26:00",24.86,"2011-11-14 13:27:05",-1,12.28,"2011-11-14 13:28:00",24.72,0.273
"2011-11-14 13:35:00",8,24.98,24.99,"2011-11-14 13:34:05",24.92,"2011-11-14 13:30:45",-1,12.28,"2011-11-14 13:33:55",24.78,0.212
"2011-11-14 13:40:00",9,24.95,25.02,"2011-11-14 13:36:50",24.85,"2011-11-14 13:39:15",-1,12.28,"2011-11-14 13:38:40",24.72,0.171
"2011-11-14 13:45:00",10,24.87,24.95,"2011-11-14 13:40:35",24.85,"2011-11-14 13:40:45",-1,12.28,"2011-11-14 13:41:50",24.75,0.174
"2011-11-14 13:50:00",11,24.89,24.95,"2011-11-14 13:48:15",24.85,"2011-11-14 13:48:05",-1,12.28,"2011-11-14 13:49:50",24.81,0.147
